,DRG Definition,Provider Id,Provider Name,Provider Street Address,Provider City,Provider State,Provider Zip Code,Hospital Referral Region (HRR) Description,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments
6123,103 - HEADACHES W/O MCC,310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,65 WEST JIMMIE LEEDS ROAD,POMONA,NJ,8240,NJ - Camden,11,49774.73,5663.0,4601.91
6124,149 - DYSEQUILIBRIUM,310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,65 WEST JIMMIE LEEDS ROAD,POMONA,NJ,8240,NJ - Camden,45,52512.91,5330.0,4283.73
6125,153 - OTITIS MEDIA & URI W/O MCC,310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,65 WEST JIMMIE LEEDS ROAD,POMONA,NJ,8240,NJ - Camden,17,45336.18,5493.94,4326.76
6126,163 - MAJOR CHEST PROCEDURES W MCC,310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,65 WEST JIMMIE LEEDS ROAD,POMONA,NJ,8240,NJ - Camden,14,310452.71,38198.93,37120.14
6127,164 - MAJOR CHEST PROCEDURES W CC,310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,65 WEST JIMMIE LEEDS ROAD,POMONA,NJ,8240,NJ - Camden,12,161963.25,36872.92,16103.25
6128,166 - OTHER RESP SYSTEM O.R. PROCEDURES W MCC,310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,65 WEST JIMMIE LEEDS ROAD,POMONA,NJ,8240,NJ - Camden,26,194120.04,26762.42,25782.31
6129,167 - OTHER RESP SYSTEM O.R. PROCEDURES W CC,310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,65 WEST JIMMIE LEEDS ROAD,POMONA,NJ,8240,NJ - Camden,25,134024.68,14814.2,13756.96
6130,175 - PULMONARY EMBOLISM W MCC,310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,65 WEST JIMMIE LEEDS ROAD,POMONA,NJ,8240,NJ - Camden,14,109236.64,11781.36,10944.07
6131,176 - PULMONARY EMBOLISM W/O MCC,310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,65 WEST JIMMIE LEEDS ROAD,POMONA,NJ,8240,NJ - Camden,57,60671.88,8066.58,6768.93
6132,177 - RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,65 WEST JIMMIE LEEDS ROAD,POMONA,NJ,8240,NJ - Camden,30,102120.1,14919.1,14226.27
6133,178 - RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,65 WEST JIMMIE LEEDS ROAD,POMONA,NJ,8240,NJ - Camden,35,90278.6,10934.77,9988.63
6134,180 - RESPIRATORY NEOPLASMS W MCC,310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,65 WEST JIMMIE LEEDS ROAD,POMONA,NJ,8240,NJ - Camden,12,118801.25,13247.83,12378.5
6135,181 - RESPIRATORY NEOPLASMS W CC,310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,65 WEST JIMMIE LEEDS ROAD,POMONA,NJ,8240,NJ - Camden,15,72641.93,9331.53,8399.6
6136,186 - PLEURAL EFFUSION W MCC,310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,65 WEST JIMMIE LEEDS ROAD,POMONA,NJ,8240,NJ - Camden,12,99727.5,11777.83,11034.25
6137,187 - PLEURAL EFFUSION W CC,310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,65 WEST JIMMIE LEEDS ROAD,POMONA,NJ,8240,NJ - Camden,11,58357.0,8671.36,7996.91
6138,189 - PULMONARY EDEMA & RESPIRATORY FAILURE,310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,65 WEST JIMMIE LEEDS ROAD,POMONA,NJ,8240,NJ - Camden,65,81728.28,9652.34,8752.58
6139,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,65 WEST JIMMIE LEEDS ROAD,POMONA,NJ,8240,NJ - Camden,94,74083.85,9313.48,8340.13
6140,191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,65 WEST JIMMIE LEEDS ROAD,POMONA,NJ,8240,NJ - Camden,151,61923.4,7775.28,6512.41
6141,192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,65 WEST JIMMIE LEEDS ROAD,POMONA,NJ,8240,NJ - Camden,102,44830.42,6698.15,4771.36
6142,193 - SIMPLE PNEUMONIA & PLEURISY W MCC,310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,65 WEST JIMMIE LEEDS ROAD,POMONA,NJ,8240,NJ - Camden,75,89153.56,11458.19,10014.81
6143,194 - SIMPLE PNEUMONIA & PLEURISY W CC,310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,65 WEST JIMMIE LEEDS ROAD,POMONA,NJ,8240,NJ - Camden,171,68678.78,8101.77,6905.22
6144,195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,65 WEST JIMMIE LEEDS ROAD,POMONA,NJ,8240,NJ - Camden,34,51372.26,7577.76,4733.53
6145,202 - BRONCHITIS & ASTHMA W CC/MCC,310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,65 WEST JIMMIE LEEDS ROAD,POMONA,NJ,8240,NJ - Camden,31,63455.42,7170.13,6095.26
6146,203 - BRONCHITIS & ASTHMA W/O CC/MCC,310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,65 WEST JIMMIE LEEDS ROAD,POMONA,NJ,8240,NJ - Camden,18,41232.0,5496.11,4462.39
6147,204 - RESPIRATORY SIGNS & SYMPTOMS,310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,65 WEST JIMMIE LEEDS ROAD,POMONA,NJ,8240,NJ - Camden,27,56811.74,6008.15,4537.74
6148,206 - OTHER RESPIRATORY SYSTEM DIAGNOSES W/O MCC,310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,65 WEST JIMMIE LEEDS ROAD,POMONA,NJ,8240,NJ - Camden,18,59057.28,10556.0,4643.33
6149,207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,65 WEST JIMMIE LEEDS ROAD,POMONA,NJ,8240,NJ - Camden,65,255822.55,38801.86,36432.09
6150,208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,65 WEST JIMMIE LEEDS ROAD,POMONA,NJ,8240,NJ - Camden,77,123968.82,17729.56,15926.96
6151,219 - CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W MCC,310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,65 WEST JIMMIE LEEDS ROAD,POMONA,NJ,8240,NJ - Camden,24,388985.5,54064.13,53320.21
6152,220 - CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,65 WEST JIMMIE LEEDS ROAD,POMONA,NJ,8240,NJ - Camden,34,308615.24,39095.09,35713.97
6153,221 - CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W/O CC/MCC,310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,65 WEST JIMMIE LEEDS ROAD,POMONA,NJ,8240,NJ - Camden,11,288730.0,35631.0,34577.09
6154,227 - CARDIAC DEFIBRILLATOR IMPLANT W/O CARDIAC CATH W/O MCC,310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,65 WEST JIMMIE LEEDS ROAD,POMONA,NJ,8240,NJ - Camden,17,259376.29,45976.18,35058.71
6155,233 - CORONARY BYPASS W CARDIAC CATH W MCC,310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,65 WEST JIMMIE LEEDS ROAD,POMONA,NJ,8240,NJ - Camden,15,447078.93,52620.0,51010.87
6156,234 - CORONARY BYPASS W CARDIAC CATH W/O MCC,310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,65 WEST JIMMIE LEEDS ROAD,POMONA,NJ,8240,NJ - Camden,23,292005.35,34806.43,30118.52
6157,236 - CORONARY BYPASS W/O CARDIAC CATH W/O MCC,310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,65 WEST JIMMIE LEEDS ROAD,POMONA,NJ,8240,NJ - Camden,21,224777.76,27405.43,26475.57
6158,237 - MAJOR CARDIOVASC PROCEDURES W MCC,310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,65 WEST JIMMIE LEEDS ROAD,POMONA,NJ,8240,NJ - Camden,36,284250.67,42174.22,36366.11
6159,238 - MAJOR CARDIOVASC PROCEDURES W/O MCC,310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,65 WEST JIMMIE LEEDS ROAD,POMONA,NJ,8240,NJ - Camden,37,175509.73,25043.7,23919.11
6160,239 - AMPUTATION FOR CIRC SYS DISORDERS EXC UPPER LIMB & TOE W MCC,310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,65 WEST JIMMIE LEEDS ROAD,POMONA,NJ,8240,NJ - Camden,13,239245.31,34080.0,32821.85
6161,242 - PERMANENT CARDIAC PACEMAKER IMPLANT W MCC,310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,65 WEST JIMMIE LEEDS ROAD,POMONA,NJ,8240,NJ - Camden,21,249859.48,30615.33,29275.9
6162,243 - PERMANENT CARDIAC PACEMAKER IMPLANT W CC,310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,65 WEST JIMMIE LEEDS ROAD,POMONA,NJ,8240,NJ - Camden,41,167028.66,20253.32,19180.07
6163,244 - PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,65 WEST JIMMIE LEEDS ROAD,POMONA,NJ,8240,NJ - Camden,30,123138.73,18209.4,14206.67
6164,246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,65 WEST JIMMIE LEEDS ROAD,POMONA,NJ,8240,NJ - Camden,45,216045.58,25007.89,23894.29
6165,247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,65 WEST JIMMIE LEEDS ROAD,POMONA,NJ,8240,NJ - Camden,158,153198.31,15808.01,14281.77
6166,248 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W MCC OR 4+ VES/STENTS,310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,65 WEST JIMMIE LEEDS ROAD,POMONA,NJ,8240,NJ - Camden,15,188158.0,22241.4,21147.87
6167,249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,65 WEST JIMMIE LEEDS ROAD,POMONA,NJ,8240,NJ - Camden,36,147534.36,16307.69,12251.36
6168,250 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W MCC,310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,65 WEST JIMMIE LEEDS ROAD,POMONA,NJ,8240,NJ - Camden,16,178416.81,24802.38,20974.06
6169,251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,65 WEST JIMMIE LEEDS ROAD,POMONA,NJ,8240,NJ - Camden,41,122527.71,15443.2,13705.78
6170,252 - OTHER VASCULAR PROCEDURES W MCC,310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,65 WEST JIMMIE LEEDS ROAD,POMONA,NJ,8240,NJ - Camden,29,171487.31,23584.72,22447.62
6171,253 - OTHER VASCULAR PROCEDURES W CC,310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,65 WEST JIMMIE LEEDS ROAD,POMONA,NJ,8240,NJ - Camden,24,117294.71,18986.17,18146.75
6172,254 - OTHER VASCULAR PROCEDURES W/O CC/MCC,310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,65 WEST JIMMIE LEEDS ROAD,POMONA,NJ,8240,NJ - Camden,11,57926.18,14045.91,10919.18
6173,264 - OTHER CIRCULATORY SYSTEM O.R. PROCEDURES,310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,65 WEST JIMMIE LEEDS ROAD,POMONA,NJ,8240,NJ - Camden,20,170450.2,21121.75,19724.25
6174,"280 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W MCC",310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,65 WEST JIMMIE LEEDS ROAD,POMONA,NJ,8240,NJ - Camden,60,120427.18,14286.65,13266.93
6175,"281 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W CC",310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,65 WEST JIMMIE LEEDS ROAD,POMONA,NJ,8240,NJ - Camden,51,88654.63,8579.65,7324.51
6176,"282 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W/O CC/MCC",310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,65 WEST JIMMIE LEEDS ROAD,POMONA,NJ,8240,NJ - Camden,26,77112.5,6323.73,5255.38
6177,"283 - ACUTE MYOCARDIAL INFARCTION, EXPIRED W MCC",310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,65 WEST JIMMIE LEEDS ROAD,POMONA,NJ,8240,NJ - Camden,12,129320.08,13055.58,12275.83
6178,"286 - CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W MCC",310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,65 WEST JIMMIE LEEDS ROAD,POMONA,NJ,8240,NJ - Camden,64,115915.08,16015.58,14920.38
6179,"287 - CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W/O MCC",310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,65 WEST JIMMIE LEEDS ROAD,POMONA,NJ,8240,NJ - Camden,268,89044.6,8837.25,7445.85
6180,291 - HEART FAILURE & SHOCK W MCC,310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,65 WEST JIMMIE LEEDS ROAD,POMONA,NJ,8240,NJ - Camden,170,92042.39,12561.59,10809.49
6181,292 - HEART FAILURE & SHOCK W CC,310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,65 WEST JIMMIE LEEDS ROAD,POMONA,NJ,8240,NJ - Camden,207,62547.91,8046.82,7097.42
6182,293 - HEART FAILURE & SHOCK W/O CC/MCC,310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,65 WEST JIMMIE LEEDS ROAD,POMONA,NJ,8240,NJ - Camden,64,47673.22,5699.31,4682.59
6183,299 - PERIPHERAL VASCULAR DISORDERS W MCC,310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,65 WEST JIMMIE LEEDS ROAD,POMONA,NJ,8240,NJ - Camden,18,132349.06,13248.11,12014.56
6184,300 - PERIPHERAL VASCULAR DISORDERS W CC,310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,65 WEST JIMMIE LEEDS ROAD,POMONA,NJ,8240,NJ - Camden,39,74457.15,8375.13,7023.87
6185,301 - PERIPHERAL VASCULAR DISORDERS W/O CC/MCC,310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,65 WEST JIMMIE LEEDS ROAD,POMONA,NJ,8240,NJ - Camden,32,46453.41,5631.88,4657.19
6186,303 - ATHEROSCLEROSIS W/O MCC,310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,65 WEST JIMMIE LEEDS ROAD,POMONA,NJ,8240,NJ - Camden,38,56209.45,5273.58,4346.32
6187,305 - HYPERTENSION W/O MCC,310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,65 WEST JIMMIE LEEDS ROAD,POMONA,NJ,8240,NJ - Camden,37,49940.92,5565.62,4154.41
6188,308 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,65 WEST JIMMIE LEEDS ROAD,POMONA,NJ,8240,NJ - Camden,72,86089.86,10412.22,8918.6
6189,309 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,65 WEST JIMMIE LEEDS ROAD,POMONA,NJ,8240,NJ - Camden,142,71190.39,7920.18,6553.53
6190,310 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,65 WEST JIMMIE LEEDS ROAD,POMONA,NJ,8240,NJ - Camden,141,43868.52,5184.27,3613.81
6191,311 - ANGINA PECTORIS,310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,65 WEST JIMMIE LEEDS ROAD,POMONA,NJ,8240,NJ - Camden,19,49647.89,5116.53,3906.68
6192,312 - SYNCOPE & COLLAPSE,310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,65 WEST JIMMIE LEEDS ROAD,POMONA,NJ,8240,NJ - Camden,233,55802.88,6255.3,5032.72
6193,313 - CHEST PAIN,310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,65 WEST JIMMIE LEEDS ROAD,POMONA,NJ,8240,NJ - Camden,228,52814.71,5361.23,4248.17
6194,314 - OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,65 WEST JIMMIE LEEDS ROAD,POMONA,NJ,8240,NJ - Camden,23,141669.61,18258.13,15395.17
6195,315 - OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,65 WEST JIMMIE LEEDS ROAD,POMONA,NJ,8240,NJ - Camden,18,65671.89,7894.72,6718.11
6196,329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,65 WEST JIMMIE LEEDS ROAD,POMONA,NJ,8240,NJ - Camden,47,258991.19,35672.11,33929.89
6197,330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,65 WEST JIMMIE LEEDS ROAD,POMONA,NJ,8240,NJ - Camden,33,176871.09,19211.52,17954.33
6198,331 - MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,65 WEST JIMMIE LEEDS ROAD,POMONA,NJ,8240,NJ - Camden,13,138249.62,12755.77,11415.23
6199,372 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,65 WEST JIMMIE LEEDS ROAD,POMONA,NJ,8240,NJ - Camden,25,81569.64,9422.32,8294.92
6200,373 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W/O CC/MCC,310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,65 WEST JIMMIE LEEDS ROAD,POMONA,NJ,8240,NJ - Camden,14,59762.36,6768.07,5669.79
6201,377 - G.I. HEMORRHAGE W MCC,310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,65 WEST JIMMIE LEEDS ROAD,POMONA,NJ,8240,NJ - Camden,42,119451.76,13706.5,12906.69
6202,378 - G.I. HEMORRHAGE W CC,310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,65 WEST JIMMIE LEEDS ROAD,POMONA,NJ,8240,NJ - Camden,99,75608.0,8368.16,6909.13
6203,379 - G.I. HEMORRHAGE W/O CC/MCC,310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,65 WEST JIMMIE LEEDS ROAD,POMONA,NJ,8240,NJ - Camden,48,53550.6,6070.29,4570.6
6204,388 - G.I. OBSTRUCTION W MCC,310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,65 WEST JIMMIE LEEDS ROAD,POMONA,NJ,8240,NJ - Camden,22,123103.05,12567.45,11572.27
6205,389 - G.I. OBSTRUCTION W CC,310064,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,65 WEST JIMMIE LEEDS ROAD,POMONA,NJ,8240,NJ - Camden,36,66871.22,8147.06,5868.92
